name,price,url
LONG FAUX SHEARLING COAT,89.95 EUR,https://www.zara.com/de/en/long-faux-shearling-coat-p01255856.html
LONGLINE BELTED WOOL BLEND COAT,119.00 EUR,https://www.zara.com/de/en/longline-belted-wool-blend-coat-p09174141.html
LONG FAUX SHEARLING COAT,89.95 EUR,https://www.zara.com/de/en/long-faux-shearling-coat-p08372301.html
PADDED HOODED WINDBREAKER ANORAK,69.95 EUR,https://www.zara.com/de/en/padded-hooded-windbreaker-anorak-p03046225.html
FAUX FUR COAT,79.95 EUR,https://www.zara.com/de/en/faux-fur-coat-p01255770.html
LONG ANORAK WITH WATER AND WIND PROTECTION,99.95 EUR,https://www.zara.com/de/en/long-anorak-with-water-and-wind-protection-p04749741.html
KNITTED COAT WITH FAUX FUR COLLAR,89.95 EUR,https://www.zara.com/de/en/knitted-coat-with-faux-fur-collar-p04192123.html
FAUX FUR COAT,99.95 EUR,https://www.zara.com/de/en/faux-fur-coat-p06318242.html
SOFT HOODED BELTED COAT,49.95 EUR,https://www.zara.com/de/en/soft-hooded-belted-coat-p03046328.html
SHORT FAUX FUR COAT,69.95 EUR,https://www.zara.com/de/en/short-faux-fur-coat-p04341774.html
DOUBLE-FACED SEMI-LONG COAT,69.95 EUR,https://www.zara.com/de/en/double-faced-semi-long-coat-p06318252.html
ANIMAL PRINT FAUX FUR SHORT COAT,79.95 EUR,https://www.zara.com/de/en/animal-print-faux-fur-short-coat-p04341775.html
SOFT COAT,49.95 EUR,https://www.zara.com/de/en/soft-coat-p08073259.html
WOOL BLEND DOUBLE-BREASTED COAT,79.95 EUR,https://www.zara.com/de/en/wool-blend-double-breasted-coat-p09340141.html
TEXTURED LONG KNIT COAT,79.95 EUR,https://www.zara.com/de/en/textured-long-knit-coat-p03653110.html
COMBINED ANORAK ZW COLLECTION,99.95 EUR,https://www.zara.com/de/en/combined-anorak-zw-collection-p00155245.html
MANTECO WOOL BLEND COAT ZW COLLECTION,149.00 EUR,https://www.zara.com/de/en/manteco-wool-blend-coat-zw-collection-p09862638.html
SOFT OVERSIZE COAT,69.95 EUR,https://www.zara.com/de/en/soft-oversize-coat-p03046299.html
PADDED HOODED WINDPROOF ANORAK,69.95 EUR,https://www.zara.com/de/en/padded-hooded-windproof-anorak-p03046225.html
SOFT OVERSIZE COAT,69.95 EUR,https://www.zara.com/de/en/soft-oversize-coat-p03046299.html
FAUX FUR COAT,59.95 EUR,https://www.zara.com/de/en/faux-fur-coat-p06318246.html
SOFT OVERSIZE COAT,69.95 EUR,https://www.zara.com/de/en/soft-oversize-coat-p03046299.html
SHORT FAUX FUR COAT,69.95 EUR,https://www.zara.com/de/en/short-faux-fur-coat-p06318024.html
WOOL COAT WITH FAUX FUR LAPELS,119.00 EUR,https://www.zara.com/de/en/wool-coat-with-faux-fur-lapels-p09225147.html
PADDED HOODED WINDPROOF ANORAK,69.95 EUR,https://www.zara.com/de/en/padded-hooded-windproof-anorak-p03046225.html
PADDED HOODED WINDPROOF ANORAK,69.95 EUR,https://www.zara.com/de/en/padded-hooded-windproof-anorak-p03046225.html
KNIT COAT WITH PATCH POCKETS,69.95 EUR,https://www.zara.com/de/en/knit-coat-with-patch-pockets-p05755125.html
LONG FAUX SHEARLING COAT,89.95 EUR,https://www.zara.com/de/en/long-faux-shearling-coat-p01255856.html
