name,price,url,color,description
TURTLENECK T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/turtleneck-t-shirt-p04174678.html,White,"SLIM FIT - HIGH NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of blended cotton yarn. Features a high neck and long sleeves."
TURTLENECK T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/turtleneck-t-shirt-p04174678.html,White,"SLIM FIT - HIGH NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of blended cotton yarn. Features a high neck and long sleeves."
TURTLENECK T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/turtleneck-t-shirt-p04174678.html,White,"SLIM FIT - HIGH NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of blended cotton yarn. Features a high neck and long sleeves."
TURTLENECK T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/turtleneck-t-shirt-p04174678.html,White,"SLIM FIT - HIGH NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of blended cotton yarn. Features a high neck and long sleeves."
TURTLENECK T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/turtleneck-t-shirt-p04174678.html,White,"SLIM FIT - HIGH NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of blended cotton yarn. Features a high neck and long sleeves."
LONG SLEEVE T-SHIRT - Black | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-t-shirt-p02335644.html,Black,"MID WEIGHT - SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of cotton blend yarn. Features a round neckline and long sleeves."
LONG SLEEVE T-SHIRT - Black | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-t-shirt-p02335644.html,Black,"MID WEIGHT - SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of cotton blend yarn. Features a round neckline and long sleeves."
LONG SLEEVE T-SHIRT - Black | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-t-shirt-p02335644.html,Black,"MID WEIGHT - SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of cotton blend yarn. Features a round neckline and long sleeves."
LONG SLEEVE T-SHIRT - Black | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-t-shirt-p02335644.html,Black,"MID WEIGHT - SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of cotton blend yarn. Features a round neckline and long sleeves."
COTTON MODAL LONG SLEEVE T-SHIRT - Mid-blue | ZARA Germany,12.95 EUR,https://www.zara.com/de/en/cotton-modal-long-sleeve-t-shirt-p04424809.html,Mid-blue,"SLIM FIT - ROUND NECK - NORMAL - LONG SLEEVE

T-shirt made from cotton and modal. Features a round neck and long sleeves."
COTTON MODAL LONG SLEEVE T-SHIRT - Mid-blue | ZARA Germany,12.95 EUR,https://www.zara.com/de/en/cotton-modal-long-sleeve-t-shirt-p04424809.html,Mid-blue,"SLIM FIT - ROUND NECK - NORMAL - LONG SLEEVE

T-shirt made from cotton and modal. Features a round neck and long sleeves."
COTTON MODAL LONG SLEEVE T-SHIRT - Mid-blue | ZARA Germany,12.95 EUR,https://www.zara.com/de/en/cotton-modal-long-sleeve-t-shirt-p04424809.html,Mid-blue,"SLIM FIT - ROUND NECK - NORMAL - LONG SLEEVE

T-shirt made from cotton and modal. Features a round neck and long sleeves."
COTTON MODAL LONG SLEEVE T-SHIRT - Mid-blue | ZARA Germany,12.95 EUR,https://www.zara.com/de/en/cotton-modal-long-sleeve-t-shirt-p04424809.html,Mid-blue,"SLIM FIT - ROUND NECK - NORMAL - LONG SLEEVE

T-shirt made from cotton and modal. Features a round neck and long sleeves."
COTTON MODAL LONG SLEEVE T-SHIRT - Mid-blue | ZARA Germany,12.95 EUR,https://www.zara.com/de/en/cotton-modal-long-sleeve-t-shirt-p04424809.html,Mid-blue,"SLIM FIT - ROUND NECK - NORMAL - LONG SLEEVE

T-shirt made from cotton and modal. Features a round neck and long sleeves."
LONG SLEEVE POLYAMIDE T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-polyamide-t-shirt-p03641857.html,White,"SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of polyamide with a round neck and long sleeves."
LONG SLEEVE POLYAMIDE T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-polyamide-t-shirt-p03641857.html,White,"SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of polyamide with a round neck and long sleeves."
LONG SLEEVE POLYAMIDE T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-polyamide-t-shirt-p03641857.html,White,"SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of polyamide with a round neck and long sleeves."
LONG SLEEVE POLYAMIDE T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-polyamide-t-shirt-p03641857.html,White,"SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of polyamide with a round neck and long sleeves."
LONG SLEEVE POLYAMIDE T-SHIRT - White | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-polyamide-t-shirt-p03641857.html,White,"SLIM FIT - ROUND NECK - REGULAR LENGTH - LONG SLEEVE

T-shirt made of polyamide with a round neck and long sleeves."
LONG SLEEVE WASHED EFFECT RIBBED T-SHIRT - Dark grey | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-washed-effect-ribbed-t-shirt-p04424805.html,Dark grey,"SLIM FIT - ROUND NECK - REGULAR - LONG SLEEVE

Long sleeve T-shirt with a round neckline.


Due to the dyeing and washing process, the colour of each garment is unique and special, so it may differ from that shown in the photo."
LONG SLEEVE WASHED EFFECT RIBBED T-SHIRT - Dark grey | ZARA Germany,15.95 EUR,https://www.zara.com/de/en/long-sleeve-washed-effect-ribbed-t-shirt-p04424805.html,Dark grey,"SLIM FIT - ROUND NECK - REGULAR - LONG SLEEVE

Long sleeve T-shirt with a round neckline.


Due to the dyeing and washing process, the colour of each garment is unique and special, so it may differ from that shown in the photo."
